protein_uniprot,ensembl,gene_name
Q99706,ENSG00000275317,KIR2DL4
Q5JQC4,ENSG00000230347,CT47A8
Q9NZH6,ENSG00000125571,IL37
Q9Y4E6,ENSG00000091157,WDR7
Q9Y2D4,ENSG00000144036,EXOC6B
Q9H1Q7,ENSG00000132635,PCED1A
Q8NGB6,ENSG00000274102,OR4M2
P53367,ENSG00000164144,ARFIP1
P25325,ENSG00000128309,MPST
Q9NYB0,ENSG00000166848,TERF2IP
P00491,ENSG00000198805,PNP
P62158,ENSG00000198668,CALM1
Q14714,ENSG00000123096,SSPN
P11308,ENSG00000157554,ERG
Q9NYR9,ENSG00000168256,NKIRAS2
Q9BQ83,ENSG00000132207,SLX1A
Q99489,ENSG00000203797,DDO
Q5TEJ8,ENSG00000130775,THEMIS2
Q01844,ENSG00000182944,EWSR1
Q8WUJ0,ENSG00000198252,STYX
Q96PQ6,ENSG00000130803,ZNF317
Q8NEW7,ENSG00000181585,TMIE
P17252,ENSG00000154229,PRKCA
Q6PI47,ENSG00000155729,KCTD18
Q99466,ENSG00000204301,NOTCH4
Q9H5H4,ENSG00000169957,ZNF768
Q9ULD9,ENSG00000168916,ZNF608
Q7Z3B1,ENSG00000172260,NEGR1
Q7Z7B1,ENSG00000277161,PIGW
P82930,ENSG00000074071,MRPS34
Q96NL6,ENSG00000151466,SCLT1
Q3MIN7,ENSG00000205517,RGL3
P49760,ENSG00000176444,CLK2
P42566,ENSG00000085832,EPS15
Q9HBU9,ENSG00000121577,POPDC2
Q96F45,ENSG00000165655,ZNF503
P25092,ENSG00000070019,GUCY2C
Q6PJI9,ENSG00000103091,WDR59
P04080,ENSG00000160213,CSTB
Q86X02,ENSG00000109089,CDR2L
Q9H6R4,ENSG00000165271,NOL6
Q9UHI8,ENSG00000154734,ADAMTS1
O94901,ENSG00000164828,SUN1
Q8TBJ4,ENSG00000276539,PLPPR1
Q9H2C1,ENSG00000089116,LHX5
O00631,ENSG00000170290,SLN
B2RC85,ENSG00000169402,RSPH10B2
Q8N954,ENSG00000152133,GPATCH11
Q9UHZ2,ENSG00000279576,AP000769.1
Q08AF8,ENSG00000153684,GOLGA8F
Q9Y448,ENSG00000128944,KNSTRN
Q96CW9,ENSG00000196358,NTNG2
Q8WUX1,ENSG00000017483,SLC38A5
A6NJG2,ENSG00000187808,SOWAHD
Q9NR22,ENSG00000111218,PRMT8
Q96JM4,ENSG00000133640,LRRIQ1
Q9Y267,ENSG00000144671,SLC22A14
Q8WWM7,ENSG00000168488,ATXN2L
H3BMG3,ENSG00000240204,SMKR1
P19652,ENSG00000228278,ORM2
Q9H0Q0,ENSG00000197872,FAM49A
O94818,ENSG00000101746,NOL4
Q9Y2P4,ENSG00000113396,SLC27A6
O75122,ENSG00000163539,CLASP2
Q8NBV8,ENSG00000149043,SYT8
Q9Y6B2,ENSG00000255302,EID1
Q9NWD8,ENSG00000106609,TMEM248
P23510,ENSG00000117586,TNFSF4
O43677,ENSG00000109390,NDUFC1
A2A288,ENSG00000178199,ZC3H12D
P12838,ENSG00000164821,DEFA4
Q969F9,ENSG00000163755,HPS3
Q15041,ENSG00000170540,ARL6IP1
Q96BZ8,ENSG00000275935,LENG1
Q13002,ENSG00000164418,GRIK2
Q6UWZ7,ENSG00000163322,FAM175A
P78549,ENSG00000065057,NTHL1
P34998,ENSG00000120088,CRHR1
Q8TD91,ENSG00000165509,MAGEC3
P12532,ENSG00000237289,CKMT1B
Q5T2S8,ENSG00000169126,ARMC4
Q9NW61,ENSG00000104886,PLEKHJ1
P35410,ENSG00000204687,MAS1L
Q9Y5R8,ENSG00000170043,TRAPPC1
Q9UBP6,ENSG00000037897,METTL1
O95793,ENSG00000124214,STAU1
Q86V21,ENSG00000081760,AACS
Q9P0J6,ENSG00000171421,MRPL36
Q96LL4,ENSG00000164743,C8orf48
P82664,ENSG00000048544,MRPS10
A6NNM3,ENSG00000274600,RIMBP3B
O00217,ENSG00000110717,NDUFS8
O95865,ENSG00000206395,DDAH2
O95935,ENSG00000112837,TBX18
A6NGS2,ENSG00000204978,ERICH4
Q8N1E6,ENSG00000171823,FBXL14
P0CJ73,ENSG00000270672,MTRNR2L6
Q5PSV4,ENSG00000100916,BRMS1L
Q9UNN5,ENSG00000185104,FAF1
Q96FX2,ENSG00000154813,DPH3
Q9Y2R4,ENSG00000277594,DDX52
Q9Y2E4,ENSG00000151240,DIP2C
Q96DI7,ENSG00000060688,SNRNP40
P78412,ENSG00000159387,IRX6
Q86VP1,ENSG00000106052,TAX1BP1
Q9P227,ENSG00000275832,ARHGAP23
P51161,ENSG00000170231,FABP6
Q9UBF1,ENSG00000046774,MAGEC2
O76076,ENSG00000064205,WISP2
Q9NZC3,ENSG00000006007,GDE1
P51685,ENSG00000179934,CCR8
Q8ND76,ENSG00000108100,CCNY
Q9NTK5,ENSG00000138430,OLA1
P49720,ENSG00000277791,PSMB3
Q9NYD6,ENSG00000180818,HOXC10
P35325,ENSG00000196805,SPRR2B
P84090,ENSG00000100632,ERH
Q9UBR1,ENSG00000100024,UPB1
Q15555,ENSG00000166974,MAPRE2
Q7LGC8,ENSG00000122863,CHST3
Q9Y2Y9,ENSG00000169926,KLF13
Q99698,ENSG00000143669,LYST
Q6PCB5,ENSG00000187257,RSBN1L
P0C0S5,ENSG00000164032,H2AFZ
O15511,ENSG00000162704,ARPC5
Q9UHC9,ENSG00000015520,NPC1L1
P06331,ENSG00000211956,IGHV4-34
P0C7M6,ENSG00000229972,IQCF3
Q13546,ENSG00000137275,RIPK1
Q9NXL2,ENSG00000236699,ARHGEF38
P51508,ENSG00000197779,ZNF81
Q15050,ENSG00000179041,RRS1
Q9H5F2,ENSG00000137720,C11orf1
Q9Y3D5,ENSG00000163319,MRPS18C
Q5JQC4,ENSG00000230594,CT47A4
Q9BY76,ENSG00000167772,ANGPTL4
Q96G79,ENSG00000176087,SLC35A4
Q8NHQ8,ENSG00000123094,RASSF8
Q6P656,ENSG00000156206,CFAP161
P26010,ENSG00000139626,ITGB7
P27815,ENSG00000065989,PDE4A
O15379,ENSG00000171720,HDAC3
O75909,ENSG00000090061,CCNK
P01906,ENSG00000206301,HLA-DQA2
Q5U5X0,ENSG00000186687,LYRM7
Q8NGH3,ENSG00000178358,OR2D3
Q14654,ENSG00000187486,KCNJ11
Q8TCB6,ENSG00000180785,OR51E1
O75691,ENSG00000120800,UTP20
Q5SSQ6,ENSG00000234951,SAPCD1
Q8IY47,ENSG00000170852,KBTBD2
A6NCS6,ENSG00000204128,C2orf72
Q8N8X9,ENSG00000173212,MAB21L3
Q6P5R6,ENSG00000163584,RPL22L1
Q99519,ENSG00000204386,NEU1
Q86X60,ENSG00000188610,FAM72B
Q8NCS4,ENSG00000243749,TMEM35B
Q9UGH3,ENSG00000089057,SLC23A2
Q9Y5P8,ENSG00000167393,PPP2R3B
Q9BY50,ENSG00000166562,SEC11C
Q6P9F0,ENSG00000130783,CCDC62
Q15120,ENSG00000067992,PDK3
Q5VV52,ENSG00000164011,ZNF691
Q9H2X9,ENSG00000124140,SLC12A5
A6NHZ5,ENSG00000185028,LRRC14B
P55345,ENSG00000160310,PRMT2
P03956,ENSG00000196611,MMP1
O95340,ENSG00000198682,PAPSS2
P05388,ENSG00000089157,RPLP0
Q8WWN8,ENSG00000120318,ARAP3
Q5JSH3,ENSG00000131725,WDR44
Q4U2R8,ENSG00000197901,SLC22A6
Q9UIG4,ENSG00000232127,PSORS1C2
O95180,ENSG00000196557,CACNA1H
P31271,ENSG00000106031,HOXA13
Q9UKB1,ENSG00000072803,FBXW11
P0DKL9,ENSG00000268223,ARL14EPL
P36543,ENSG00000131100,ATP6V1E1
Q13268,ENSG00000100867,DHRS2
Q8TD31,ENSG00000206457,CCHCR1
O60682,ENSG00000178860,MSC
O60308,ENSG00000116198,CEP104
Q96S52,ENSG00000087111,PIGS
O60928,ENSG00000115474,KCNJ13
Q14973,ENSG00000100652,SLC10A1
Q9BWG4,ENSG00000130511,SSBP4
P09544,ENSG00000105989,WNT2
P62745,ENSG00000143878,RHOB
P0C7U3,ENSG00000206077,ZDHHC11B
Q9HC38,ENSG00000167699,GLOD4
O60739,ENSG00000114784,EIF1B
Q8WU66,ENSG00000175894,TSPEAR
C9JVW0,ENSG00000257704,INAFM1
Q8NGC1,ENSG00000196832,OR11G2
P11277,ENSG00000070182,SPTB
P22415,ENSG00000158773,USF1
Q7Z6M3,ENSG00000271605,MILR1
Q8N635,ENSG00000162039,MEIOB
Q13114,ENSG00000131323,TRAF3
Q9HC73,ENSG00000205755,CRLF2
P04637,ENSG00000141510,TP53
Q8WUM4,ENSG00000170248,PDCD6IP
Q643R3,ENSG00000176454,LPCAT4
Q9H633,ENSG00000243009,RPP21
Q8IWB7,ENSG00000085449,WDFY1
Q6NUQ1,ENSG00000135249,RINT1
Q9NP31,ENSG00000027869,SH2D2A
Q9Y6M7,ENSG00000033867,SLC4A7
Q9HBL8,ENSG00000153406,NMRAL1
P18615,ENSG00000231044,NELFE
P60900,ENSG00000100902,PSMA6
P55774,ENSG00000275385,CCL18
Q96EY1,ENSG00000276726,DNAJA3
P28065,ENSG00000240508,PSMB9
Q9BXL6,ENSG00000141527,CARD14
Q96MS0,ENSG00000154134,ROBO3
P36639,ENSG00000106268,NUDT1
Q86SP6,ENSG00000174948,GPR149
P21554,ENSG00000118432,CNR1
Q6ZWB6,ENSG00000183783,KCTD8
Q14162,ENSG00000074660,SCARF1
Q6UWT4,ENSG00000178776,C5orf46
Q9H7Z6,ENSG00000103510,KAT8
P15735,ENSG00000156873,PHKG2
P0C881,ENSG00000155026,RSPH10B
P40200,ENSG00000153283,CD96
Q93052,ENSG00000145012,LPP
Q9H2U1,ENSG00000174953,DHX36
O14966,ENSG00000117280,RAB29
O14862,ENSG00000163568,AIM2
Q9NZP8,ENSG00000139178,C1RL
Q6ZNR0,ENSG00000142046,TMEM91
Q8TCT1,ENSG00000173868,PHOSPHO1
P62995,ENSG00000136527,TRA2B
Q96C45,ENSG00000168038,ULK4
Q16663,ENSG00000275528,CCL15
Q14766,ENSG00000049323,LTBP1
Q9BYG0,ENSG00000176597,B3GNT5
Q6BEB4,ENSG00000204335,SP5
Q8ND83,ENSG00000139737,SLAIN1
Q9H1J7,ENSG00000111186,WNT5B
Q96BY2,ENSG00000278268,MOAP1
Q92504,ENSG00000229802,SLC39A7
O14613,ENSG00000149798,CDC42EP2
Q99574,ENSG00000163536,SERPINI1
Q9Y284,ENSG00000105583,WDR83OS
Q8NCR0,ENSG00000162885,B3GALNT2
P25025,ENSG00000180871,CXCR2
P35410,ENSG00000206470,MAS1L
Q9H6D7,ENSG00000092036,HAUS4
Q4AC94,ENSG00000168014,C2CD3
Q06732,ENSG00000196693,ZNF33B
Q5JRM2,ENSG00000203933,CXorf66
B3KS81,ENSG00000226763,SRRM5
P16118,ENSG00000158571,PFKFB1
Q93097,ENSG00000134245,WNT2B
Q14929,ENSG00000175787,ZNF169
P60484,ENSG00000171862,PTEN
Q5R3I4,ENSG00000075234,TTC38
Q9BXV9,ENSG00000170270,GON7
Q8WXJ9,ENSG00000154007,ASB17
P59534,ENSG00000236398,TAS2R39
Q96SA4,ENSG00000168528,SERINC2
O75037,ENSG00000116852,KIF21B
Q8N6I4,ENSG00000153485,TMEM251
Q9Y657,ENSG00000106723,SPIN1
Q9NVQ4,ENSG00000158234,FAIM
O75955,ENSG00000206480,FLOT1
P55157,ENSG00000138823,MTTP
P78371,ENSG00000166226,CCT2
Q9NRP7,ENSG00000163482,STK36
P12110,ENSG00000142173,COL6A2
O95425,ENSG00000197321,SVIL
Q9H207,ENSG00000166363,OR10A5
Q5TFE4,ENSG00000178425,NT5DC1
P51114,ENSG00000114416,FXR1
Q9NQ76,ENSG00000152595,MEPE
Q6DN90,ENSG00000144711,IQSEC1
Q8TC05,ENSG00000111554,MDM1
Q8TAT2,ENSG00000174721,FGFBP3
Q9NS39,ENSG00000185736,ADARB2
Q8NBL1,ENSG00000163389,POGLUT1
Q9H1K6,ENSG00000140406,MESDC1
Q6W2J9,ENSG00000183337,BCOR
Q5VWW1,ENSG00000165985,C1QL3
Q9BTA9,ENSG00000095787,WAC
Q14938,ENSG00000008441,NFIX
P30459,ENSG00000223980,HLA-A
P10314,ENSG00000223980,HLA-A
P30447,ENSG00000223980,HLA-A
Q2M3M2,ENSG00000117834,SLC5A9
Q96CT7,ENSG00000007080,CCDC124
P05538,ENSG00000230675,HLA-DQB2
Q8WTU0,ENSG00000170967,DDI1
A6NK44,ENSG00000171433,GLOD5
O75808,ENSG00000103326,CAPN15
Q9HAS3,ENSG00000197506,SLC28A3
P47902,ENSG00000113722,CDX1
A0AVF1,ENSG00000105948,TTC26
P0C7A2,ENSG00000182230,FAM153B
Q9H2I8,ENSG00000148655,C10orf11
Q12852,ENSG00000139625,MAP3K12
Q96DZ1,ENSG00000068912,ERLEC1
Q8N6M8,ENSG00000173389,IQCF1
Q9BQE3,ENSG00000167553,TUBA1C
Q9H596,ENSG00000189037,DUSP21
A6PVI3,ENSG00000170935,NCBP2L
Q9NYV7,ENSG00000128519,TAS2R16
Q9H2S5,ENSG00000204618,RNF39
P13637,ENSG00000105409,ATP1A3
Q96A22,ENSG00000149300,C11orf52
Q6ZV73,ENSG00000180263,FGD6
Q6UWV6,ENSG00000182156,ENPP7
Q9Y6C5,ENSG00000117425,PTCH2
P24043,ENSG00000196569,LAMA2
Q9UBF2,ENSG00000158623,COPG2
P35452,ENSG00000170178,HOXD12
Q6PK18,ENSG00000181396,OGFOD3
O14598,ENSG00000129862,VCY1B
O95967,ENSG00000172638,EFEMP2
Q9BT23,ENSG00000136490,LIMD2
A0FGR9,ENSG00000158220,ESYT3
Q13615,ENSG00000100330,MTMR3
O75840,ENSG00000118263,KLF7
Q9HCZ1,ENSG00000198185,ZNF334
Q6UW10,ENSG00000230072,SFTA2
Q7RTS3,ENSG00000168267,PTF1A
Q7Z745,ENSG00000171495,MROH2B
Q9BXC1,ENSG00000147138,GPR174
Q9HAV5,ENSG00000131080,EDA2R
P04279,ENSG00000124233,SEMG1
O95450,ENSG00000087116,ADAMTS2
Q92530,ENSG00000125818,PSMF1
Q9H342,ENSG00000184321,OR51J1
Q9UHF7,ENSG00000104447,TRPS1
P11226,ENSG00000165471,MBL2
Q15542,ENSG00000148835,TAF5
B4DU55,ENSG00000234284,ZNF879
Q7L3T8,ENSG00000162396,PARS2
P55771,ENSG00000198807,PAX9
O14976,ENSG00000178950,GAK
Q494X3,ENSG00000176222,ZNF404
Q9Y2Z4,ENSG00000139131,YARS2
Q6UXI7,ENSG00000205221,VIT
Q0WX57,ENSG00000228856,USP17L30
Q6ZMI3,ENSG00000186417,GLDN
Q86XE3,ENSG00000155970,MICU3
P28067,ENSG00000243719,HLA-DMA
O43526,ENSG00000075043,KCNQ2
O75425,ENSG00000106330,MOSPD3
P98196,ENSG00000068650,ATP11A
Q96C24,ENSG00000102362,SYTL4
D3DTV9,ENSG00000229637,PRAC2
Q9BW27,ENSG00000125450,NUP85
Q8WVH0,ENSG00000213578,CPLX3
Q15270,ENSG00000235608,NKX1-1
O43314,ENSG00000145725,PPIP5K2
Q7Z3J2,ENSG00000103544,C16orf62
Q8NBN7,ENSG00000278149,RDH13
O95631,ENSG00000065320,NTN1
P01040,ENSG00000121552,CSTA
Q8IWU5,ENSG00000196562,SULF2
Q9ULI1,ENSG00000174145,NWD2
Q96AA8,ENSG00000176049,JAKMIP2
O95626,ENSG00000139223,ANP32D
Q14244,ENSG00000135525,MAP7
Q9UHR4,ENSG00000006453,BAIAP2L1
P30050,ENSG00000197958,RPL12
Q9P2H5,ENSG00000118369,USP35
Q9Y3T6,ENSG00000104679,R3HCC1
Q9UKI9,ENSG00000137709,POU2F3
P22102,ENSG00000262473,GART
P57086,ENSG00000171222,SCAND1
Q00013,ENSG00000130830,MPP1
P49366,ENSG00000095059,DHPS
Q8N806,ENSG00000012963,UBR7
P09067,ENSG00000120075,HOXB5
Q8TBB1,ENSG00000072201,LNX1
P02741,ENSG00000132693,CRP
O95567,ENSG00000100249,C22orf31
O60858,ENSG00000204977,TRIM13
P30874,ENSG00000180616,SSTR2
Q9UBX1,ENSG00000174080,CTSF
Q8TBK2,ENSG00000103037,SETD6
O75881,ENSG00000172817,CYP7B1
Q6ZNW5,ENSG00000183208,GDPGP1
Q9UPQ4,ENSG00000104228,TRIM35
Q13332,ENSG00000105426,PTPRS
Q13075,ENSG00000278613,NAIP
P49848,ENSG00000106290,TAF6
Q9UIH9,ENSG00000163884,KLF15
Q9P032,ENSG00000123545,NDUFAF4
P49221,ENSG00000163810,TGM4
Q96NM4,ENSG00000124191,TOX2
O00237,ENSG00000239305,RNF103
Q5T1H1,ENSG00000188107,EYS
Q658L1,ENSG00000188659,SAXO2
Q5TA50,ENSG00000224051,CPTP
Q8IYT8,ENSG00000083290,ULK2
Q9HCM2,ENSG00000221866,PLXNA4
Q96P66,ENSG00000165370,GPR101
Q5T8P6,ENSG00000139746,RBM26
Q96DB2,ENSG00000163517,HDAC11
P00326,ENSG00000248144,ADH1C
O95755,ENSG00000100228,RAB36
O14980,ENSG00000082898,XPO1
Q8NFJ8,ENSG00000180828,BHLHE22
Q6P2D0,ENSG00000184517,ZFP1
Q99973,ENSG00000129566,TEP1
Q14246,ENSG00000174837,ADGRE1
Q9H114,ENSG00000125823,CSTL1
Q9UKW4,ENSG00000134215,VAV3
Q8TD57,ENSG00000158486,DNAH3
Q92838,ENSG00000158813,EDA
Q6UUV7,ENSG00000140577,CRTC3
Q16828,ENSG00000139318,DUSP6
O15553,ENSG00000103313,MEFV
Q08495,ENSG00000158856,DMTN
Q7Z398,ENSG00000251369,ZNF550
O95866,ENSG00000230060,C6orf25
Q9H1B4,ENSG00000126952,NXF5
Q7Z3U7,ENSG00000061987,MON2
P10635,ENSG00000275211,CYP2D6
Q9H5I5,ENSG00000154864,PIEZO2
Q86UR5,ENSG00000079841,RIMS1
Q16836,ENSG00000138796,HADH
O75570,ENSG00000120662,MTRF1
A6NMZ7,ENSG00000206384,COL6A6
Q9BY84,ENSG00000111266,DUSP16
P15169,ENSG00000120054,CPN1
Q3ZCU0,ENSG00000179240,RP11-111M22.2
P26885,ENSG00000173486,FKBP2
P06681,ENSG00000166278,C2
Q8NGS7,ENSG00000186943,OR13C8
Q8NGS9,ENSG00000276119,OR13C2
O60888,ENSG00000226492,CUTA
Q9NY33,ENSG00000254986,DPP3
Q5TF39,ENSG00000173214,MFSD4B
Q9NP50,ENSG00000139146,FAM60A
Q18PE1,ENSG00000175920,DOK7
Q13536,ENSG00000125462,C1orf61
Q8IW41,ENSG00000089022,MAPKAPK5
P35212,ENSG00000187513,GJA4
Q96B21,ENSG00000151715,TMEM45B
Q9H6R7,ENSG00000163026,WDCP
O15244,ENSG00000112499,SLC22A2
Q9NTQ9,ENSG00000189433,GJB4
Q96NY9,ENSG00000172732,MUS81
P30481,ENSG00000228964,HLA-B
Q16773,ENSG00000171097,KYAT1
O00748,ENSG00000172831,CES2
O43823,ENSG00000105127,AKAP8
Q8NGL0,ENSG00000205030,OR5L2
Q96CU9,ENSG00000110074,FOXRED1
Q86UK5,ENSG00000173040,EVC2
O75380,ENSG00000145494,NDUFS6
Q9NRR2,ENSG00000116176,TPSG1
P62079,ENSG00000168785,TSPAN5
Q16555,ENSG00000092964,DPYSL2
Q6IE81,ENSG00000077684,JADE1
Q9H5V8,ENSG00000163814,CDCP1
Q9NWW6,ENSG00000106733,NMRK1
Q9NV39,ENSG00000182257,PRR34
P11161,ENSG00000122877,EGR2
Q5FYB1,ENSG00000183876,ARSI
P33897,ENSG00000101986,ABCD1
Q9HBL8,ENSG00000274684,NMRAL1
A4D0S4,ENSG00000091128,LAMB4
Q9GZZ0,ENSG00000128645,HOXD1
Q9UM44,ENSG00000114455,HHLA2
Q8NGS3,ENSG00000136834,OR1J1
Q02880,ENSG00000077097,TOP2B
P17812,ENSG00000171793,CTPS1
Q96H72,ENSG00000165915,SLC39A13
P56706,ENSG00000188064,WNT7B
A6NNB3,ENSG00000206013,IFITM5
Q8WUY9,ENSG00000035499,DEPDC1B
P16389,ENSG00000177301,KCNA2
Q9NWM3,ENSG00000180891,CUEDC1
Q9UJV3,ENSG00000080561,MID2
A5A3E0,ENSG00000196604,POTEF
A0PJY2,ENSG00000128610,FEZF1
A6NGN4,ENSG00000229571,PRAMEF25
Q96BT7,ENSG00000137760,ALKBH8
Q969R2,ENSG00000184792,OSBP2
Q8N8F6,ENSG00000177752,YIPF7
P04040,ENSG00000121691,CAT
O00189,ENSG00000221838,AP4M1
Q86WN2,ENSG00000184995,IFNE
O14733,ENSG00000076984,MAP2K7
O15499,ENSG00000063515,GSC2
Q5T9C9,ENSG00000167103,PIP5KL1
Q6IEG0,ENSG00000168566,SNRNP48
O76054,ENSG00000100003,SEC14L2
Q8TD47,ENSG00000280969,RPS4Y2
P00488,ENSG00000124491,F13A1
P22748,ENSG00000167434,CA4
Q15054,ENSG00000077514,POLD3
Q9Y6Q5,ENSG00000129354,AP1M2
P15374,ENSG00000118939,UCHL3
Q05925,ENSG00000163064,EN1
O43676,ENSG00000119013,NDUFB3
Q8N8E2,ENSG00000163795,ZNF513
Q96HP4,ENSG00000154814,OXNAD1
Q9HA92,ENSG00000136444,RSAD1
Q01432,ENSG00000133805,AMPD3
Q9H7H0,ENSG00000165792,METTL17
Q8N302,ENSG00000164252,AGGF1
Q8WXF0,ENSG00000154548,SRSF12
O43439,ENSG00000078699,CBFA2T2
O00198,ENSG00000135116,HRK
Q93073,ENSG00000138593,SECISBP2L
Q5VU57,ENSG00000186094,AGBL4
Q5MJ08,ENSG00000189326,SPANXN4
Q14183,ENSG00000149927,DOC2A
Q9BS16,ENSG00000123219,CENPK
Q9Y5L2,ENSG00000135245,HILPDA
O95544,ENSG00000008130,NADK
Q9P2Q2,ENSG00000151474,FRMD4A
Q9NQT5,ENSG00000107371,EXOSC3
Q96JB6,ENSG00000138131,LOXL4
O75444,ENSG00000178573,MAF
Q1EHB4,ENSG00000148942,SLC5A12
Q8WXA2,ENSG00000171053,PATE1
Q14232,ENSG00000111361,EIF2B1
P43631,ENSG00000276139,KIR2DS2
P47944,ENSG00000102891,MT4
Q4JDL3,ENSG00000204179,PTPN20
Q9HAN9,ENSG00000173614,NMNAT1
P07478,ENSG00000282049,PRSS2
Q96FW1,ENSG00000167770,OTUB1
Q9UBF6,ENSG00000114125,RNF7
Q8IXQ8,ENSG00000155714,PDZD9
Q9Y4A8,ENSG00000050344,NFE2L3
P15516,ENSG00000205649,HTN3
Q5SVZ6,ENSG00000197056,ZMYM1
A6NEQ0,ENSG00000242389,RBMY1E
Q8N614,ENSG00000121895,TMEM156
Q14028,ENSG00000070729,CNGB1
O95925,ENSG00000101448,EPPIN
P13473,ENSG00000005893,LAMP2
Q00872,ENSG00000196091,MYBPC1
Q9Y6F7,ENSG00000182415,CDY2A
Q8NBP7,ENSG00000169174,PCSK9
Q06587,ENSG00000235107,RING1
A6NGQ2,ENSG00000203907,OOEP
Q9P0W5,ENSG00000151967,SCHIP1
Q4W5P6,ENSG00000164112,TMEM155
Q6PFW1,ENSG00000168781,PPIP5K1
P10997,ENSG00000121351,IAPP
Q7Z3G6,ENSG00000163637,PRICKLE2
Q92870,ENSG00000163697,APBB2
Q6UXF7,ENSG00000140839,CLEC18B
O95169,ENSG00000166136,NDUFB8
Q16853,ENSG00000131471,AOC3
P53701,ENSG00000004961,HCCS
Q9GZK4,ENSG00000232984,OR2H1
P59901,ENSG00000276798,LILRA4
Q96JG8,ENSG00000187243,MAGED4B
Q96KS9,ENSG00000154319,FAM167A
O60930,ENSG00000171865,RNASEH1
Q3B7J2,ENSG00000141098,GFOD2
Q92833,ENSG00000008083,JARID2
P11802,ENSG00000135446,CDK4
Q14CB8,ENSG00000213390,ARHGAP19
Q99500,ENSG00000213694,S1PR3
Q96EC8,ENSG00000181704,YIPF6
Q9NWW5,ENSG00000128973,CLN6
Q96JQ0,ENSG00000166341,DCHS1
P32241,ENSG00000114812,VIPR1
P08922,ENSG00000047936,ROS1
P54709,ENSG00000069849,ATP1B3
Q9H3G5,ENSG00000106066,CPVL
Q9Y2I9,ENSG00000111490,TBC1D30
Q9NZ56,ENSG00000155816,FMN2
Q9Y546,ENSG00000116212,LRRC42
P55107,ENSG00000266524,GDF10
Q02535,ENSG00000117318,ID3
Q96N95,ENSG00000186496,ZNF396
P55916,ENSG00000175564,UCP3
Q5VWG9,ENSG00000165632,TAF3
Q5HYI8,ENSG00000144840,RABL3
Q9Y333,ENSG00000172850,LSM2
P26992,ENSG00000122756,CNTFR
P09913,ENSG00000119922,IFIT2
Q7Z6A9,ENSG00000186265,BTLA
Q9Y5S8,ENSG00000007952,NOX1
Q9UHQ4,ENSG00000075790,BCAP29
Q684P5,ENSG00000132359,RAP1GAP2
O60678,ENSG00000185238,PRMT3
O75334,ENSG00000139220,PPFIA2
Q96N03,ENSG00000132821,VSTM2L
Q9NZF1,ENSG00000145287,PLAC8
Q8NFU3,ENSG00000215845,TSTD1
Q96P68,ENSG00000165621,OXGR1
Q9GZQ3,ENSG00000170619,COMMD5
P05023,ENSG00000163399,ATP1A1
O15239,ENSG00000125356,NDUFA1
Q5T2N8,ENSG00000215915,ATAD3C
P43631,ENSG00000276425,KIR2DS2
Q6UWW8,ENSG00000172828,CES3
P67812,ENSG00000140612,SEC11A
Q9UQM7,ENSG00000070808,CAMK2A
O75496,ENSG00000112312,GMNN
Q5SQH8,ENSG00000233641,C6orf136
Q86Y07,ENSG00000028116,VRK2
Q13950,ENSG00000124813,RUNX2
O43903,ENSG00000148935,GAS2
Q96BV0,ENSG00000196456,ZNF775
Q9BXG8,ENSG00000164299,SPZ1
P20132,ENSG00000135094,SDS
Q6ZRZ4,ENSG00000186354,C9orf47
Q7Z3Q1,ENSG00000139508,SLC46A3
Q9HB20,ENSG00000116095,PLEKHA3
Q9UBS5,ENSG00000232569,GABBR1
O95670,ENSG00000227587,ATP6V1G2
Q9ULV3,ENSG00000148337,CIZ1
P0C7T5,ENSG00000224470,ATXN1L
P15976,ENSG00000102145,GATA1
P48553,ENSG00000160218,TRAPPC10
Q9UFW8,ENSG00000163320,CGGBP1
Q8NBZ7,ENSG00000115652,UXS1
Q8NC01,ENSG00000150048,CLEC1A
Q9UBS9,ENSG00000094975,SUCO
Q8NFU5,ENSG00000151151,IPMK
Q8IYB3,ENSG00000133226,SRRM1
Q15583,ENSG00000177426,TGIF1
P36871,ENSG00000079739,PGM1
Q6ZS82,ENSG00000186326,RGS9BP
O77932,ENSG00000204348,DXO
Q9BT43,ENSG00000121851,POLR3GL
P52747,ENSG00000166478,ZNF143
P13232,ENSG00000104432,IL7
O75351,ENSG00000119541,VPS4B
Q9NZQ0,ENSG00000115137,DNAJC27
Q5T124,ENSG00000158062,UBXN11
P06748,ENSG00000181163,NPM1
Q9Y5X9,ENSG00000101670,LIPG
P61978,ENSG00000165119,HNRNPK
P04217,ENSG00000121410,A1BG
Q5T4W7,ENSG00000117407,ARTN
O60506,ENSG00000135316,SYNCRIP
Q9NYJ8,ENSG00000055208,TAB2
O43790,ENSG00000170442,KRT86
O15391,ENSG00000230797,YY2
Q9H501,ENSG00000089048,ESF1
Q6ZP65,ENSG00000135127,BICDL1
P11908,ENSG00000101911,PRPS2
P0C0L5,ENSG00000228267,C4B
Q9NRC6,ENSG00000137877,SPTBN5
Q9NP55,ENSG00000198183,BPIFA1
P05062,ENSG00000136872,ALDOB
Q9NVN3,ENSG00000111785,RIC8B
Q92826,ENSG00000159184,HOXB13
Q8N9Y4,ENSG00000273533,FAM181A
A6NFE2,ENSG00000165935,SMCO2
Q9H0L4,ENSG00000177613,CSTF2T
