id_cp_interaction,partner_a,partner_b,protein_name_a,protein_name_b,annotation_strategy,source
CPI-SS0528A694B,O15529,Q92520,GPR42_HUMAN,FAM3C_HUMAN,"IMEx,IntAct",
CPI-SS052B38F1C,O00626,P51679,CCL22_HUMAN,CCR4_HUMAN,curated,PMID: 24218476
CPI-SS052BBD9F9,P09341,Q16570,GROA_HUMAN,ACKR1_HUMAN,curated,PMID: 24218476
CPI-SS052D34F0B,P46094,Q9UBD3,XCR1_HUMAN,XCL2_HUMAN,curated,uniprot
CPI-SS053613259,O14511,P21860,NRG2_HUMAN,ERBB3_HUMAN,curated,uniprot
CPI-SS054D158CC,P04629,P28799,NTRK1_HUMAN,GRN_HUMAN,InnateDB-All,
CPI-SS05550A895,O00755,Q13467,WNT7A_HUMAN,FZD5_HUMAN,curated,PMID: 24032637
CPI-SS055B305F1,P13688,Q9NNX6,CEAM1_HUMAN,CD209_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/16282604,https://www.ncbi.nlm.nih.gov/pubmed/16246332"
CPI-SS055E061C9,P11279,Q92520,LAMP1_HUMAN,FAM3C_HUMAN,InnateDB-All,
CPI-SS056993231,P01275,P47871,GLUC_HUMAN,GLR_HUMAN,I2D,
CPI-SS056AA08CF,P20800,P25101,EDN2_HUMAN,EDNRA_HUMAN,guidetopharmacology.org,
CPI-SS056BE1011,O00421,Q99731,CCRL2_HUMAN,CCL19_HUMAN,guidetopharmacology.org,
CPI-SS056FF4363,P09326,Q9BZW8,CD48_HUMAN,CD244_HUMAN,curated,activating interaction. uniprot & PMID: 26697006
CPI-SS0576E6C7D,O95393,Q9H7M9,BMP10_HUMAN,GI24_HUMAN,"IMEx,IntAct",
CPI-SS0577408A3,P01215,P23945,GLHA_HUMAN,FSHR_HUMAN,"I2D,InnateDB-All",
CPI-SS0579FA162,P01344,P08069,IGF2_HUMAN,IGF1R_HUMAN,curated,PMID: 27102148
CPI-SS05834E385,P25942,P51460,TNR5_HUMAN,INSL3_HUMAN,I2D,
CPI-SS0586F2596,P29323,P52803,EPHB2_HUMAN,EFNA5_HUMAN,curated,PMID:15107857; PMID: 15114347
CPI-SS058E608D0,P12272,P49683,PTHR_HUMAN,PRLHR_HUMAN,guidetopharmacology.org,
CPI-SS05996C8FD,P01019,P30556,ANGT_HUMAN,AGTR1_HUMAN,guidetopharmacology.org,
CPI-SS059CC19A3,P32246,Q16627,CCR1_HUMAN,CCL14_HUMAN,curated,PMID: 24218476
CPI-SS059EEFDC6,P14174,Q9UBN6,MIF_HUMAN,TR10D_HUMAN,"I2D,IntAct",
CPI-SS05A26A1DE,P01127,P09619,PDGFB_HUMAN,PGFRB_HUMAN,curated,uniprot
CPI-SS05A8552D7,Q92838,Q9UNE0,EDA_HUMAN,EDAR_HUMAN,guidetopharmacology.org,
CPI-SS05A94DE17,P09038,P21802,FGF2_HUMAN,FGFR2_HUMAN,curated,uniprot
CPI-SS05B1FA8A8,O75581,Q9UBR5,LRP6_HUMAN,CKLF_HUMAN,"IMEx,IntAct",
CPI-SS05B4EB419,P52797,P54764,EFNA3_HUMAN,EPHA4_HUMAN,curated,PMID: 15114347
CPI-SS05B60E59C,P01282,P41587,VIP_HUMAN,VIPR2_HUMAN,I2D,
CPI-SS05B7D3407,P13501,Q16570,CCL5_HUMAN,ACKR1_HUMAN,curated,PMID: 24218476
CPI-SS05B92CCC4,P51677,Q9NRJ3,CCR3_HUMAN,CCL28_HUMAN,guidetopharmacology.org,
CPI-SS05BA6D9C3,P13236,P34972,CCL4_HUMAN,CNR2_HUMAN,"IMEx,IntAct",
CPI-SS05BE83BC6,P07333,P09919,CSF1R_HUMAN,CSF3_HUMAN,guidetopharmacology.org,
CPI-SS05C077A1E,P22455,P55075,FGFR4_HUMAN,FGF8_HUMAN,I2D,
CPI-SS05C2D0200,O00144,P04628,FZD9_HUMAN,WNT1_HUMAN,I2D,
CPI-SS05CE87F88,P17693,Q8NHL6,HLAG_HUMAN,LIRB1_HUMAN,curated,"uniprot, Induces NK Cell Inhibition. Reviewed in PMID:24987108"
CPI-SS05D1A6BEF,P04629,Q12904,NTRK1_HUMAN,AIMP1_HUMAN,InnateDB-All,
CPI-SS05D23BCE8,HLADPB1,Q9Y275,HLADPB1,TN13B_HUMAN,InnateDB-All,
CPI-SS05D406038,P43119,Q9UBU3,PI2R_HUMAN,GHRL_HUMAN,InnateDB-All,
CPI-SS05D7900BF,P21246,Q9UM73,PTN_HUMAN,ALK_HUMAN,curated,uniprot
CPI-SS05E001125,O75473,Q2I0M5,LGR5_HUMAN,RSPO4_HUMAN,guidetopharmacology.org,
CPI-SS05E4B1EBC,P01308,P06213,INS_HUMAN,INSR_HUMAN,curated,uniprot
CPI-SS05E63FBEC,P25024,P42830,CXCR1_HUMAN,CXCL5_HUMAN,curated,PMID: 24218476
CPI-SS05E6D620E,P21709,P52798,EPHA1_HUMAN,EFNA4_HUMAN,curated,PMID: 15114347
CPI-SS05ECF1933,P11487,P22455,FGF3_HUMAN,FGFR4_HUMAN,I2D,
CPI-SS05F0AFA81,P17342,P61366,ANPRC_HUMAN,OSTN_HUMAN,guidetopharmacology.org,
CPI-SS05F45873A,P0DJI8,P25090,SAA1_HUMAN,FPR2_HUMAN,guidetopharmacology.org,
CPI-SS05FEE05CB,Q99466,Q9Y219,NOTC4_HUMAN,JAG2_HUMAN,curated,PMID: 22353464
CPI-SS06006F870,P02766,Q15109,TTHY_HUMAN,RAGE_HUMAN,"I2D,IMEx,InnateDB-All,MINT",
CPI-SS0607D1101,P46531,Q9NYJ7,NOTC1_HUMAN,DLL3_HUMAN,curated,PMID: 22353464
CPI-SS0609FCF76,Q2I0M5,Q9HBX8,RSPO4_HUMAN,LGR6_HUMAN,guidetopharmacology.org,
CPI-SS060B82BBC,P78504,Q04721,JAG1_HUMAN,NOTC2_HUMAN,curated,PMID: 22353464
CPI-SS061A7E099,P08174,P48960,DAF_HUMAN,CD97_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11297558
CPI-SS06207F70E,Q15762,Q92692,CD226_HUMAN,PVRL2_HUMAN,curated,"activating interaction PMID: 15607800, NK cell cytotoxicity. PMID: 24440149"
CPI-SS062307CFE,Q02413,Q08554,DSG1_HUMAN,DSC1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27298358
CPI-SS062DED513,P18509,P32241,PACA_HUMAN,VIPR1_HUMAN,I2D,
CPI-SS0632A027A,P16070,Q99075,CD44_HUMAN,HBEGF_HUMAN,"I2D,InnateDB-All",
CPI-SS0638E0E29,P46092,P80098,CCR10_HUMAN,CCL7_HUMAN,I2D,
CPI-SS064281234,P11279,Q6UX27,LAMP1_HUMAN,VSTM1_HUMAN,"IMEx,IntAct",
CPI-SS0649EA05F,P22455,P31371,FGFR4_HUMAN,FGF9_HUMAN,I2D,
CPI-SS064C772FE,P46092,Q9NRJ3,CCR10_HUMAN,CCL28_HUMAN,guidetopharmacology.org,
CPI-SS0652F5D15,P16860,P27487,ANFB_HUMAN,DPP4_HUMAN,"InnateDB-All,MINT",
CPI-SS0658257AC,P22455,Q15256,FGFR4_HUMAN,PTPRR_HUMAN,InnateDB-All,
CPI-SS0659DBE72,P52798,P54764,EFNA4_HUMAN,EPHA4_HUMAN,curated,PMID: 15114347
CPI-SS065F7DA2A,P53621,Q15077,COPA_HUMAN,P2RY6_HUMAN,"IMEx,IntAct",
CPI-SS066347638,P12034,P22455,FGF5_HUMAN,FGFR4_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS066FBE098,P35225,Q14627,IL13_HUMAN,I13R2_HUMAN,curated,PMID: 26471366
CPI-SS066FE05CA,P41159,P48357,LEP_HUMAN,LEPR_HUMAN,curated,uniprot
CPI-SS067BA9202,Q6GTX8,Q8NHJ6,LAIR1_HUMAN,LIRB4_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/19283782/
CPI-SS068C129D6,P09603,P78324,CSF1_HUMAN,SHPS1_HUMAN,I2D,
CPI-SS068C742A1,P05230,Q03167,FGF1_HUMAN,TGBR3_HUMAN,InnateDB-All,
CPI-SS06908C6CC,P01308,P14735,INS_HUMAN,IDE_HUMAN,"I2D,IMEx",
CPI-SS0698C4DC4,P10145,P25024,IL8_HUMAN,CXCR1_HUMAN,curated,PMID: 24218476
CPI-SS069924427,P01019,P50052,ANGT_HUMAN,AGTR2_HUMAN,guidetopharmacology.org,
CPI-SS06A0B20BD,P21802,P54764,FGFR2_HUMAN,EPHA4_HUMAN,"I2D,InnateDB-All",
CPI-SS06A999D25,O14939,P84077,PLD2_HUMAN,ARF1_HUMAN,guidetopharmacology.org,
CPI-SS06AA638A8,P21854,Q92854,CD72_HUMAN,SEM4D_HUMAN,curated,PMID: 22325954
CPI-SS06ABF2F5A,P16109,P25063,LYAM3_HUMAN,CD24_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/9129046
CPI-SS06AC5AF53,P01210,Q96LB2,PENK_HUMAN,MRGX1_HUMAN,guidetopharmacology.org,
CPI-SS06B0861F1,O00590,Q99616,ACKR2_HUMAN,CCL13_HUMAN,curated,PMID: 24218476
CPI-SS06B86672A,P16070,P21802,CD44_HUMAN,FGFR2_HUMAN,InnateDB-All,
CPI-SS06B94F144,P20594,P23582,ANPRB_HUMAN,ANFC_HUMAN,guidetopharmacology.org,
CPI-SS06BC4D123,P21860,P35070,ERBB3_HUMAN,BTC_HUMAN,curated,uniprot
CPI-SS06C0074BD,O00585,P32248,CCL21_HUMAN,CCR7_HUMAN,curated,PMID: 24218476
CPI-SS06CBC985C,P36941,Q06643,TNR3_HUMAN,TNFC_HUMAN,curated,uniprot
CPI-SS06CCF5A54,P04083,P25089,ANXA1_HUMAN,FPR3_HUMAN,guidetopharmacology.org,
CPI-SS06CE0CF64,O00230,P30872,CORT_HUMAN,SSR1_HUMAN,guidetopharmacology.org,
CPI-SS06CF55F94,P51460,Q8WXD0,INSL3_HUMAN,RXFP2_HUMAN,guidetopharmacology.org,
CPI-SS06D13FCD3,Q02487,Q14126,DSC2_HUMAN,DSG2_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27298358
CPI-SS06D341996,P11487,P21802,FGF3_HUMAN,FGFR2_HUMAN,"I2D,InnateDB-All",
CPI-SS06E42DB13,Q15848,Q9UHP7,ADIPO_HUMAN,CLC2D_HUMAN,"IMEx,IntAct",
CPI-SS06F83AE58,P16070,P16581,CD44_HUMAN,LYAM2_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571854/
CPI-SS0703338F5,O00182,P16070,LEG9_HUMAN,CD44_HUMAN,InnateDB,
CPI-SS0706A559F,Q765I0,Q9UKP6,UTS2B_HUMAN,UR2R_HUMAN,"I2D,InnateDB-All",
CPI-SS0708FE6FF,Q02297,Q86X29,NRG1_HUMAN,LSR_HUMAN,InnateDB-All,
CPI-SS070A3A7E5,O95750,P11362,FGF19_HUMAN,FGFR1_HUMAN,"IMEx,InnateDB-All",
CPI-SS070B0E458,Q12879,Q14005,NMDE1_HUMAN,IL16_HUMAN,I2D,
CPI-SS070C51D94,O75084,P56703,FZD7_HUMAN,WNT3_HUMAN,curated,PMID: 24032637
CPI-SS0714977CA,P23560,Q8TDT2,BDNF_HUMAN,GP152_HUMAN,"IMEx,IntAct",
CPI-SS07155793F,P25106,P48061,ACKR3_HUMAN,SDF1_HUMAN,guidetopharmacology.org,
CPI-SS072B19293,HLADPA1,P22466,HLADPA1,GALA_HUMAN,InnateDB-All,
CPI-SS072E1E27A,O15552,P01375,FFAR2_HUMAN,TNFA_HUMAN,"IMEx,IntAct",
CPI-SS07327E587,P10747,P33681,CD28_HUMAN,CD80_HUMAN,curated,antigen-stimulated T cells become activated. Reviewed in PMID: 23954143
CPI-SS0735F5C3A,P01033,P21802,TIMP1_HUMAN,FGFR2_HUMAN,InnateDB-All,
CPI-SS073811AB3,O00300,O14788,TR11B_HUMAN,TNF11_HUMAN,curated,uniprot
CPI-SS073B0CE7A,O00590,P16619,ACKR2_HUMAN,CL3L1_HUMAN,I2D,
CPI-SS073C1B796,P31358,Q96LC7,CD52_HUMAN,SIG10_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/23685786
CPI-SS073F3FAD5,P41221,Q01973,WNT5A_HUMAN,ROR1_HUMAN,IMEx,
CPI-SS074050495,P01286,Q02643,SLIB_HUMAN,GHRHR_HUMAN,guidetopharmacology.org,
CPI-SS0747FCACD,O14625,P25106,CXL11_HUMAN,ACKR3_HUMAN,guidetopharmacology.org,
CPI-SS074CF011C,Q15303,Q8WWG1,ERBB4_HUMAN,NRG4_HUMAN,curated,uniprot
CPI-SS0755A26DD,P05230,P11362,FGF1_HUMAN,FGFR1_HUMAN,curated,uniprot
CPI-SS075D9B9AD,P01042,P46663,KNG1_HUMAN,BKRB1_HUMAN,guidetopharmacology.org,
CPI-SS0762B455F,P20827,P54756,EFNA1_HUMAN,EPHA5_HUMAN,curated,PMID: 15114347
CPI-SS0769B1FF3,P11362,P55075,FGFR1_HUMAN,FGF8_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS076BC3BA6,HLADPB1,Q02297,HLADPB1,NRG1_HUMAN,InnateDB-All,
CPI-SS076D8415B,P10147,P14735,CCL3_HUMAN,IDE_HUMAN,"IMEx,InnateDB-All,MINT",
CPI-SS076D8A297,P12034,P22607,FGF5_HUMAN,FGFR3_HUMAN,I2D,
CPI-SS076FEB261,P36888,P49771,FLT3_HUMAN,FLT3L_HUMAN,curated,uniprot
CPI-SS0779676D0,P16860,P20594,ANFB_HUMAN,ANPRB_HUMAN,"I2D,InnateDB-All",
CPI-SS077B160B9,P40933,Q13261,IL15_HUMAN,I15RA_HUMAN,guidetopharmacology.org,
CPI-SS077D7365D,P10747,P42081,CD28_HUMAN,CD86_HUMAN,curated,antigen-stimulated T cells become activated. Reviewed in PMID: 23954143
CPI-SS07833475A,P11362,P21781,FGFR1_HUMAN,FGF7_HUMAN,I2D,
CPI-SS07835EECF,P01282,P37288,VIP_HUMAN,V1AR_HUMAN,"IMEx,IntAct",
CPI-SS0795802F6,P13236,P30825,CCL4_HUMAN,CTR1_HUMAN,"IMEx,IntAct",
CPI-SS079728E8B,P29275,P49961,AA2BR_HUMAN,ENTP1_HUMAN,curated,uniprot
CPI-SS0799949D7,Q8TDU9,Q9Y5Q6,RL3R2_HUMAN,INSL5_HUMAN,guidetopharmacology.org,
CPI-SS079DDF890,O43508,Q93038,TNF12_HUMAN,TNR25_HUMAN,I2D,
CPI-SS079EF5D9C,P52797,P54756,EFNA3_HUMAN,EPHA5_HUMAN,curated,PMID: 15114347
CPI-SS079FD6EC6,P01350,P43628,GAST_HUMAN,KI2L3_HUMAN,"IMEx,IntAct",
CPI-SS07A03C20F,O95750,P22455,FGF19_HUMAN,FGFR4_HUMAN,"I2D,IMEx,InnateDB-All",
CPI-SS07A0F4D73,P11362,Q9GZV9,FGFR1_HUMAN,FGF23_HUMAN,"IMEx,InnateDB-All",
CPI-SS07A97B3E2,Q8NHW4,Q8TDV0,CC4L_HUMAN,GP151_HUMAN,"IMEx,IntAct",
CPI-SS07A9A501C,P22607,P31371,FGFR3_HUMAN,FGF9_HUMAN,"I2D,InnateDB-All",
CPI-SS07AB1C381,P02775,P25024,CXCL7_HUMAN,CXCR1_HUMAN,curated,PMID: 24218476
CPI-SS07AF9303D,P07492,P30550,GRP_HUMAN,GRPR_HUMAN,guidetopharmacology.org,
CPI-SS07B3139A0,P48645,Q9GZQ4,NMU_HUMAN,NMUR2_HUMAN,guidetopharmacology.org,
CPI-SS07BA4A3B7,P21802,P55075,FGFR2_HUMAN,FGF8_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS07BECB892,P29317,P52797,EPHA2_HUMAN,EFNA3_HUMAN,curated,PMID: 15114347
CPI-SS07CA5A6F1,P54764,Q15768,EPHA4_HUMAN,EFNB3_HUMAN,curated,PMID: 15114347
CPI-SS07CCAD9BF,P28799,Q99523,GRN_HUMAN,SORT_HUMAN,"IMEx,InnateDB-All,MINT",
CPI-SS07CF0C6E7,P10092,P30988,CALCB_HUMAN,CALCR_HUMAN,guidetopharmacology.org,
CPI-SS07D40A3F3,Q92847,Q9UBU3,GHSR_HUMAN,GHRL_HUMAN,guidetopharmacology.org,
CPI-SS07D56EB05,Q99788,Q99969,CML1_HUMAN,RARR2_HUMAN,guidetopharmacology.org,
CPI-SS07D71C546,Q04721,Q13007,NOTC2_HUMAN,IL24_HUMAN,"IMEx,InnateDB-All,MINT",
CPI-SS07D9A48A2,P01374,P20333,TNFB_HUMAN,TNR1B_HUMAN,curated,uniprot
CPI-SS07DFEBFA8,Q15760,Q6UWT2,GPR19_HUMAN,ENHO_HUMAN,guidetopharmacology.org,
CPI-SS07EC65CED,P80098,Q16570,CCL7_HUMAN,ACKR1_HUMAN,I2D,
CPI-SS07F015051,P51684,P78556,CCR6_HUMAN,CCL20_HUMAN,curated,PMID: 24218476
CPI-SS07F042076,P00533,Q6UW88,EGFR_HUMAN,EPGN_HUMAN,curated,uniprot
CPI-SS07F60834D,P08581,P14210,MET_HUMAN,HGF_HUMAN,curated,uniprot
CPI-SS080611C5B,P09917,P20292,LOX5_HUMAN,AL5AP_HUMAN,guidetopharmacology.org,
CPI-SS080683E15,P02778,P49682,CXL10_HUMAN,CXCR3_HUMAN,curated,PMID: 24218476
CPI-SS08083B141,O14786,Q14563,NRP1_HUMAN,SEM3A_HUMAN,curated,uniprot
CPI-SS080C0EEB8,P56704,Q9UP38,WNT3A_HUMAN,FZD1_HUMAN,"I2D,InnateDB-All",
CPI-SS08102DC9E,P09341,P25025,GROA_HUMAN,CXCR2_HUMAN,curated,PMID: 24218476
CPI-SS0815A0EE0,P51677,Q9Y258,CCR3_HUMAN,CCL26_HUMAN,curated,PMID: 24218476
CPI-SS0816A4ED4,P22455,P54764,FGFR4_HUMAN,EPHA4_HUMAN,"I2D,InnateDB-All",
CPI-SS0817CE2B3,P16619,P32246,CL3L1_HUMAN,CCR1_HUMAN,curated,PMID: 24218476
CPI-SS081AD39D7,P16284,Q8N6Q3,PECA1_HUMAN,CD177_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/17580308
CPI-SS0822AEF5F,P08575,P22897,PTPRC_HUMAN,MRC1_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/27601670,https://www.ncbi.nlm.nih.gov/pubmed/10575006"
CPI-SS082900482,O60883,P07602,ETBR2_HUMAN,SAP_HUMAN,guidetopharmacology.org,
CPI-SS0829B8FD2,P28799,Q9H2X3,GRN_HUMAN,CLC4M_HUMAN,InnateDB-All,
CPI-SS082ABF1EA,P52799,P54753,EFNB2_HUMAN,EPHB3_HUMAN,curated,PMID: 15114347
CPI-SS082AD7B6A,O60353,P41221,FZD6_HUMAN,WNT5A_HUMAN,curated,PMID: 24032637
CPI-SS0830AF8E6,P01350,P32239,GAST_HUMAN,GASR_HUMAN,guidetopharmacology.org,
CPI-SS0830C7910,O43921,P29322,EFNA2_HUMAN,EPHA8_HUMAN,curated,PMID: 15114347
CPI-SS083296041,P25942,P29965,TNR5_HUMAN,CD40L_HUMAN,curated,Reviewed in PMID: 23602662
CPI-SS08330207B,Q7Z6A9,Q92956,BTLA_HUMAN,TNR14_HUMAN,guidetopharmacology.org,
CPI-SS083319328,P30989,P30990,NTR1_HUMAN,NEUT_HUMAN,guidetopharmacology.org,
CPI-SS08376F0E6,P09919,Q99062,CSF3_HUMAN,CSF3R_HUMAN,curated,uniprot
CPI-SS0837E9F59,P78504,Q99466,JAG1_HUMAN,NOTC4_HUMAN,curated,PMID: 22353464
CPI-SS083B5EBAB,O43927,Q9NPB9,CXL13_HUMAN,ACKR4_HUMAN,curated,PMID: 24218476
CPI-SS083CBFACD,P21741,Q92673,MK_HUMAN,SORL_HUMAN,InnateDB-All,
CPI-SS083E7D88C,Q13324,Q96RP3,CRFR2_HUMAN,UCN2_HUMAN,guidetopharmacology.org,
CPI-SS084816B12,O43612,O43613,OREX_HUMAN,OX1R_HUMAN,guidetopharmacology.org,
CPI-SS084BE3E4B,P01374,P19438,TNFB_HUMAN,TNR1A_HUMAN,curated,uniprot
CPI-SS085195142,Q06418,Q14393,TYRO3_HUMAN,GAS6_HUMAN,guidetopharmacology.org,
CPI-SS0855C0353,O14786,P49763,NRP1_HUMAN,PLGF_HUMAN,curated,uniprot
CPI-SS0859C173B,O43557,P36941,TNF14_HUMAN,TNR3_HUMAN,curated,uniprot
CPI-SS085C150CE,Q9BYF1,Q9UBU3,ACE2_HUMAN,GHRL_HUMAN,I2D,
CPI-SS085EE60B1,P01137,Q03167,TGFB1_HUMAN,TGBR3_HUMAN,curated,uniprot
CPI-SS0865716E5,P54760,Q15768,EPHB4_HUMAN,EFNB3_HUMAN,curated,PMID: 15114347
CPI-SS086615F9B,P09603,Q9NYQ7,CSF1_HUMAN,CELR3_HUMAN,I2D,
CPI-SS086A1C18B,P16581,Q14242,LYAM2_HUMAN,SELPL_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4571854/
CPI-SS08718E4FB,O15197,Q15768,EPHB6_HUMAN,EFNB3_HUMAN,curated,PMID: 15114347
CPI-SS08719F19E,P0DMC3,P35414,ELA_HUMAN,APJ_HUMAN,guidetopharmacology.org,
CPI-SS087321EB5,P14151,Q14242,LYAM1_HUMAN,SELPL_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2431087/,https://www.ncbi.nlm.nih.gov/pubmed/8892633,https://www.ncbi.nlm.nih.gov/pubmed/8896607"
CPI-SS0879B8E95,O95971,Q92956,BY55_HUMAN,TNR14_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/21959263
CPI-SS087A17AD6,P01588,P19235,EPO_HUMAN,EPOR_HUMAN,curated,uniprot
CPI-SS087B53ABF,P57087,Q9BX67,JAM2_HUMAN,JAM3_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1237098/,https://www.ncbi.nlm.nih.gov/pubmed/11590146"
CPI-SS087BD262F,P25025,P42830,CXCR2_HUMAN,CXCL5_HUMAN,curated,PMID: 24218476
CPI-SS087E0E3FB,P52799,P54764,EFNB2_HUMAN,EPHA4_HUMAN,curated,PMID: 15114347
CPI-SS08805BBC2,P51460,Q9HBX9,INSL3_HUMAN,RXFP1_HUMAN,guidetopharmacology.org,
CPI-SS08833E2DA,P36544,P55000,ACHA7_HUMAN,SLUR1_HUMAN,"IMEx,InnateDB-All,UniProt",
CPI-SS0883B7EE4,P22607,Q9GZV9,FGFR3_HUMAN,FGF23_HUMAN,I2D,
CPI-SS08877A081,O00182,Q5KU26,LEG9_HUMAN,COL12_HUMAN,InnateDB-All,
CPI-SS08883E9F6,P10767,P21802,FGF6_HUMAN,FGFR2_HUMAN,"I2D,InnateDB-All",
CPI-SS0889E281D,Q9BY67,Q9BY67,CADM1_HUMAN,CADM1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/24503895
CPI-SS088A0A760,P00533,P53621,EGFR_HUMAN,COPA_HUMAN,InnateDB-All,
CPI-SS088C1035B,P34130,Q16620,NTF4_HUMAN,NTRK2_HUMAN,"I2D,IMEx,InnateDB-All,IntAct",
CPI-SS08920B6FF,O00592,P14151,PODXL_HUMAN,LYAM1_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/22814396
CPI-SS0893BD6B6,Q14005,Q14957,IL16_HUMAN,NMDE3_HUMAN,I2D,
CPI-SS0898D7F7F,O14763,P50591,TR10B_HUMAN,TNF10_HUMAN,curated,uniprot
CPI-SS08991B378,P30203,Q13740,CD6_HUMAN,CD166_HUMAN,curated,Reviewed in PMID: 23602662
CPI-SS08A54963F,O43921,P29317,EFNA2_HUMAN,EPHA2_HUMAN,curated,PMID: 15114347
CPI-SS08A819670,P32970,Q9NZH0,CD70_HUMAN,GPC5B_HUMAN,InnateDB-All,
CPI-SS08B249DBA,P13500,P46092,CCL2_HUMAN,CCR10_HUMAN,I2D,
CPI-SS08B7D54A3,P01375,P25445,TNFA_HUMAN,TNR6_HUMAN,InnateDB-All,
CPI-SS08B85996F,P02766,P08138,TTHY_HUMAN,TNR16_HUMAN,"IMEx,InnateDB-All,MINT",
CPI-SS08B91FD2A,P32246,P80098,CCR1_HUMAN,CCL7_HUMAN,curated,PMID: 24218476
CPI-SS08B94BEB2,Q08554,Q14126,DSC1_HUMAN,DSG2_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27298358
CPI-SS08BFF4F9B,P10147,P51677,CCL3_HUMAN,CCR3_HUMAN,curated,PMID: 24218476
CPI-SS08C3D27F7,P46531,Q9Y219,NOTC1_HUMAN,JAG2_HUMAN,curated,PMID: 22353464
CPI-SS08C411721,P31997,P40199,CEAM8_HUMAN,CEAM6_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/11590190
CPI-SS08C78576B,Q96T91,Q9UF33,GPHA2_HUMAN,EPHA6_HUMAN,InnateDB-All,
CPI-SS08C88D297,O00230,Q96LB1,CORT_HUMAN,MRGX2_HUMAN,I2D,
CPI-SS08C995EB4,Q6UXB2,Q9HC97,VCC1_HUMAN,GPR35_HUMAN,guidetopharmacology.org,
CPI-SS08CA619FE,P00533,P28799,EGFR_HUMAN,GRN_HUMAN,InnateDB-All,
CPI-SS08D0F9109,P52799,P54760,EFNB2_HUMAN,EPHB4_HUMAN,curated,PMID: 15114347
CPI-SS08DA48A5A,P10147,P32246,CCL3_HUMAN,CCR1_HUMAN,curated,PMID: 24218476
CPI-SS08E13FAF2,O00590,P51671,ACKR2_HUMAN,CCL11_HUMAN,curated,PMID: 24218476
CPI-SS08E6EA18C,P16066,P16860,ANPRA_HUMAN,ANFB_HUMAN,guidetopharmacology.org,
CPI-SS08EDE5442,Q6UWQ7,Q9H665,IGFL2_HUMAN,IGFR1_HUMAN,"IMEx,InnateDB-All,UniProt",
CPI-SS08F13AD5C,P33681,Q9NZQ7,CD80_HUMAN,PD1L1_HUMAN,curated,"https://www.ncbi.nlm.nih.gov/pubmed/17629517,https://www.ncbi.nlm.nih.gov/pubmed/18585785,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3168865/"
CPI-SS08FAC0A55,O15031,Q92854,PLXB2_HUMAN,SEM4D_HUMAN,curated,PMID: 22325954
CPI-SS09000F32A,Q02413,Q14574,DSG1_HUMAN,DSC3_HUMAN,curated,https://www.ncbi.nlm.nih.gov/pubmed/27298358
CPI-SS0907A7598,P21802,P31371,FGFR2_HUMAN,FGF9_HUMAN,"I2D,InnateDB-All",
CPI-SS090987D9C,Q02643,Q9UBU3,GHRHR_HUMAN,GHRL_HUMAN,I2D,
CPI-SS090FC28E1,O15197,P52799,EPHB6_HUMAN,EFNB2_HUMAN,curated,PMID: 15114347
CPI-SS0911EECCC,P10145,Q16570,IL8_HUMAN,ACKR1_HUMAN,curated,PMID: 24218476
CPI-SS0917CBD53,HLAC,P43628,HLAC,KI2L3_HUMAN,curated,PMID: 28484462
CPI-SS09185EA8F,P19876,P25025,CXCL3_HUMAN,CXCR2_HUMAN,curated,PMID: 24218476
CPI-SS09199F78C,P32246,P55773,CCR1_HUMAN,CCL23_HUMAN,curated,PMID: 24218476
CPI-SS091B461CB,O00590,Q9NRJ3,ACKR2_HUMAN,CCL28_HUMAN,I2D,
CPI-SS092C1B321,P41597,Q9Y258,CCR2_HUMAN,CCL26_HUMAN,curated,PMID: 24218476
CPI-SS092E57263,P04141,P07333,CSF2_HUMAN,CSF1R_HUMAN,guidetopharmacology.org,
CPI-SS09375CA29,O94910,Q02297,AGRL1_HUMAN,NRG1_HUMAN,InnateDB-All,
